ID,EventID,LocationID,ModNo,Scientific_Name,DBH
210,CUVAWetlnd2018Jul11,CUVAWetlnd139,3.00,Salix nigra,42.50
211,CUVAWetlnd2018Jul11,CUVAWetlnd139,4.00,Platanus occidentalis,52.30
212,CUVAWetlnd2018Jul11,CUVAWetlnd139,8.00,Platanus occidentalis,74.40
213,CUVAWetlnd2018Jul17,CUVAWetlnd155,2.00,Ulmus americana,40.10
214,CUVAWetlnd2018Jul17,CUVAWetlnd155,3.00,Quercus palustris,45.80
215,CUVAWetlnd2018Jul17,CUVAWetlnd155,4.00,Carya ovata,40.90
216,CUVAWetlnd2018Jul17,CUVAWetlnd155,6.00,Acer rubrum,67.50
217,CUVAWetlnd2018Jul17,CUVAWetlnd155,6.00,Quercus palustris,55.00
218,CUVAWetlnd2018Jul17,CUVAWetlnd155,10.00,Quercus bicolor,65.10
219,CUVAWetlnd2018Aug14,CUVAWetlnd130,3.00,Standing dead,42.60
220,CUVAWetlnd2018Aug14,CUVAWetlnd130,3.00,Standing dead,58.50
221,CUVAWetlnd2018Aug14,CUVAWetlnd130,10.00,Standing dead,62.80
222,CUVAWetlnd2018Aug14,CUVAWetlnd130,10.00,Carya cordiformis,42.00
223,CUVAWetlnd2018Aug22,CUVAWetlnd131,3.00,Salix nigra,45.00
224,CUVAWetlnd2018Aug23,CUVAWetlnd135,6.00,Platanus occidentalis,47.00
225,CUVAWetlnd2018Aug28,CUVAWetlnd134,2.00,Platanus occidentalis,103.20
226,CUVAWetlnd2018Aug30,CUVAWetlnd157,1.00,Populus deltoides,72.70
227,CUVAWetlnd2018Aug30,CUVAWetlnd157,2.00,Acer saccharinum,43.40
228,CUVAWetlnd2018Aug30,CUVAWetlnd157,3.00,Populus deltoides,83.10
229,CUVAWetlnd2018Aug30,CUVAWetlnd157,4.00,Acer saccharinum,44.50
230,CUVAWetlnd2018Aug30,CUVAWetlnd157,5.00,Populus deltoides,61.20
231,CUVAWetlnd2018Aug30,CUVAWetlnd157,5.00,Populus deltoides,68.80
232,CUVAWetlnd2018Aug30,CUVAWetlnd157,6.00,Ulmus americana,49.40
233,CUVAWetlnd2018Aug30,CUVAWetlnd157,7.00,Acer saccharinum,53.40
234,CUVAWetlnd2018Aug30,CUVAWetlnd157,7.00,Populus deltoides,69.20
235,CUVAWetlnd2018Aug30,CUVAWetlnd157,8.00,Acer saccharinum,40.10
236,CUVAWetlnd2018Aug30,CUVAWetlnd157,9.00,Acer saccharinum,41.40
237,CUVAWetlnd2018Aug30,CUVAWetlnd157,9.00,Acer saccharinum,40.20
238,CUVAWetlnd2018Aug30,CUVAWetlnd157,9.00,Populus deltoides,49.50
239,CUVAWetlnd2018Aug30,CUVAWetlnd157,9.00,Populus deltoides,68.40
240,CUVAWetlnd2018Aug30,CUVAWetlnd157,10.00,Populus deltoides,70.80
241,CUVAWetlnd2018Aug30,CUVAWetlnd157,10.00,Populus deltoides,60.10
242,CUVAWetlnd2018Sep07,CUVAWetlnd292,4.00,Standing dead,44.30
243,CUVAWetlnd2018Oct16,CUVAWetlnd149,1.00,Salix nigra,57.50
244,CUVAWetlnd2018Oct16,CUVAWetlnd149,2.00,Salix nigra,40.60
245,CUVAWetlnd2018Sep12,CUVAWetlnd148,2.00,Populus deltoides,103.90
246,CUVAWetlnd2018Sep14,CUVAWetlnd146,2.00,Acer saccharinum,44.80
247,CUVAWetlnd2018Sep14,CUVAWetlnd146,4.00,Platanus occidentalis,79.00
248,CUVAWetlnd2018Sep14,CUVAWetlnd146,5.00,Acer rubrum,49.60
249,CUVAWetlnd2018Sep11,CUVAWetlnd150,3.00,Populus deltoides,44.60
250,CUVAWetlnd2018Sep11,CUVAWetlnd150,4.00,Populus deltoides,77.00
251,CUVAWetlnd2018Sep11,CUVAWetlnd150,5.00,Standing dead,79.50
252,CUVAWetlnd2018Sep11,CUVAWetlnd150,5.00,Standing dead,56.80
253,CUVAWetlnd2018Sep11,CUVAWetlnd150,5.00,Populus deltoides,54.00
254,CUVAWetlnd2018Sep11,CUVAWetlnd150,5.00,Populus deltoides,51.60
255,CUVAWetlnd2018Sep11,CUVAWetlnd150,6.00,Populus deltoides,57.10
256,CUVAWetlnd2018Sep11,CUVAWetlnd150,6.00,Populus deltoides,58.20
257,CUVAWetlnd2018Sep11,CUVAWetlnd150,7.00,Populus deltoides,72.70
258,CUVAWetlnd2018Sep11,CUVAWetlnd150,7.00,Populus deltoides,70.00
259,CUVAWetlnd2018Sep11,CUVAWetlnd150,8.00,Populus deltoides,45.30
260,CUVAWetlnd2018Jul09,CUVAWetlnd138,1.00,Populus deltoides,40.10
261,CUVAWetlnd2018Jul09,CUVAWetlnd138,2.00,Populus deltoides,42.40
262,CUVAWetlnd2018Jul09,CUVAWetlnd138,3.00,Populus deltoides,40.10
263,CUVAWetlnd2018Jul09,CUVAWetlnd138,3.00,Populus deltoides,49.40
264,CUVAWetlnd2018Jul09,CUVAWetlnd138,4.00,Populus deltoides,51.00
265,CUVAWetlnd2018Jul09,CUVAWetlnd138,4.00,Populus deltoides,48.50
266,CUVAWetlnd2018Jul09,CUVAWetlnd138,7.00,Populus deltoides,58.90
267,CUVAWetlnd2018Jul09,CUVAWetlnd138,7.00,Populus deltoides,47.70
268,CUVAWetlnd2018Jul09,CUVAWetlnd138,8.00,Populus deltoides,41.90
269,CUVAWetlnd2018Jul09,CUVAWetlnd138,8.00,Populus deltoides,40.20
270,CUVAWetlnd2018Jul09,CUVAWetlnd138,8.00,Populus deltoides,40.70
271,CUVAWetlnd2018Jul09,CUVAWetlnd138,9.00,Populus deltoides,55.20
272,CUVAWetlnd2018Jul09,CUVAWetlnd138,9.00,Populus deltoides,43.40
273,CUVAWetlnd2018Jul09,CUVAWetlnd138,9.00,Populus deltoides,43.00
274,CUVAWetlnd2018Jul05,CUVAWetlnd142,3.00,Salix alba,75.10
275,CUVAWetlnd2018Jul05,CUVAWetlnd142,5.00,Acer saccharinum,47.80
276,CUVAWetlnd2018Jul05,CUVAWetlnd142,5.00,Acer saccharinum,49.00
277,CUVAWetlnd2018Jul05,CUVAWetlnd142,6.00,Populus deltoides,76.10
278,CUVAWetlnd2018Jul05,CUVAWetlnd142,7.00,Acer saccharinum,57.20
279,CUVAWetlnd2018Jul05,CUVAWetlnd142,7.00,Acer saccharinum,52.40
280,CUVAWetlnd2018Jul05,CUVAWetlnd156,1.00,Acer saccharinum,48.30
281,CUVAWetlnd2018Jul05,CUVAWetlnd156,2.00,Populus deltoides,45.30
282,CUVAWetlnd2018Jul05,CUVAWetlnd156,3.00,Populus deltoides,44.60
283,CUVAWetlnd2018Jul05,CUVAWetlnd156,4.00,Populus deltoides,50.10
284,CUVAWetlnd2018Jul05,CUVAWetlnd156,5.00,Populus deltoides,42.10
285,CUVAWetlnd2018Jul05,CUVAWetlnd156,5.00,Populus deltoides,46.10
286,CUVAWetlnd2018Jul05,CUVAWetlnd156,6.00,Populus deltoides,41.50
287,CUVAWetlnd2018Jul05,CUVAWetlnd156,7.00,Populus deltoides,40.70
288,CUVAWetlnd2018Jul05,CUVAWetlnd156,7.00,Populus deltoides,46.30
289,CUVAWetlnd2018Jul05,CUVAWetlnd156,8.00,Acer saccharinum,40.30
290,CUVAWetlnd2018Jul05,CUVAWetlnd156,8.00,Populus deltoides,51.70
291,CUVAWetlnd2018Jul05,CUVAWetlnd156,9.00,Populus deltoides,54.90
292,CUVAWetlnd2018Jul05,CUVAWetlnd156,9.00,Populus deltoides,71.00
293,CUVAWetlnd2018Jul05,CUVAWetlnd156,10.00,Populus deltoides,46.60
296,CUVAWetlnd2019Jun24,CUVAWetlnd181,1.00,Platanus occidentalis,52.40
297,CUVAWetlnd2019Jun24,CUVAWetlnd181,5.00,Platanus occidentalis,43.70
298,CUVAWetlnd2019Jul01,CUVAWetlnd179,2.00,Ulmus americana,42.30
299,CUVAWetlnd2019Jul01,CUVAWetlnd179,3.00,Standing dead,50.50
300,CUVAWetlnd2019Jul01,CUVAWetlnd179,3.00,Acer rubrum,40.20
301,CUVAWetlnd2019Jul01,CUVAWetlnd179,6.00,Ulmus americana,42.00
302,CUVAWetlnd2019Jul02,CUVAWetlnd193,1.00,Quercus alba,81.20
303,CUVAWetlnd2019Jul02,CUVAWetlnd193,8.00,Acer x freemanii,62.20
304,CUVAWetlnd2019Jul02,CUVAWetlnd193,10.00,Quercus palustris,58.40
305,CUVAWetlnd2019Jul08,CUVAWetlnd194,4.00,Acer x freemanii,41.60
306,CUVAWetlnd2019Jul08,CUVAWetlnd194,6.00,Standing dead,44.90
307,CUVAWetlnd2019Jul08,CUVAWetlnd194,8.00,Quercus palustris,50.70
308,CUVAWetlnd2019Aug01,CUVAWetlnd204,2.00,Ulmus americana,43.90
309,CUVAWetlnd2019Aug04,CUVAWetlnd189,1.00,Platanus occidentalis,51.30
310,CUVAWetlnd2019Aug04,CUVAWetlnd189,1.00,Platanus occidentalis,53.00
311,CUVAWetlnd2019Aug04,CUVAWetlnd189,2.00,Platanus occidentalis,44.70
312,CUVAWetlnd2019Aug04,CUVAWetlnd189,2.00,Platanus occidentalis,46.30
313,CUVAWetlnd2019Aug04,CUVAWetlnd189,2.00,Platanus occidentalis,47.20
314,CUVAWetlnd2019Aug04,CUVAWetlnd189,2.00,Platanus occidentalis,55.20
315,CUVAWetlnd2019Aug04,CUVAWetlnd189,4.00,Platanus occidentalis,40.30
316,CUVAWetlnd2019Aug04,CUVAWetlnd189,4.00,Platanus occidentalis,60.80
317,CUVAWetlnd2019Aug06,CUVAWetlnd207,1.00,Liriodendron tulipifera,68.30
318,CUVAWetlnd2019Aug06,CUVAWetlnd207,4.00,Standing dead,43.30
319,CUVAWetlnd2019Aug06,CUVAWetlnd207,4.00,Standing dead,47.40
320,CUVAWetlnd2019Aug08,CUVAWetlnd200,1.00,Juglans nigra,51.80
321,CUVAWetlnd2019Aug20,CUVAWetlnd192,1.00,Ulmus americana,52.80
322,CUVAWetlnd2019Aug20,CUVAWetlnd192,3.00,Liriodendron tulipifera,52.50
323,CUVAWetlnd2019Sep07,CUVAWetlnd205,1.00,Liriodendron tulipifera,41.40
324,CUVAWetlnd2019Sep07,CUVAWetlnd205,2.00,Liriodendron tulipifera,40.80
325,CUVAWetlnd2019Sep07,CUVAWetlnd205,2.00,Liriodendron tulipifera,40.90
326,CUVAWetlnd2019Sep07,CUVAWetlnd205,4.00,Ulmus americana,49.90
327,CUVAWetlnd2019Sep07,CUVAWetlnd205,8.00,Standing dead,47.40
328,CUVAWetlnd2019Sep07,CUVAWetlnd205,10.00,Liriodendron tulipifera,63.50
329,CUVAWetlnd2019Sep09,CUVAWetlnd195,2.00,Fagus grandifolia,46.20
330,CUVAWetlnd2019Sep10,CUVAWetlnd210,1.00,Juglans cinerea,40.60
331,CUVAWetlnd2019Sep26,CUVAWetlnd214,1.00,Acer rubrum,40.60
332,CUVAWetlnd2019Sep23,CUVAWetlnd215,2.00,Ulmus americana,47.50
333,CUVAWetlnd2019Jun18,CUVAWetlnd173,2.00,Juglans nigra,43.80
334,CUVAWetlnd2020Jun24,CUVAWetlnd174,1.00,Liriodendron tulipifera,41.60
335,CUVAWetlnd2020Jun25,CUVAWetlnd185,1.00,Platanus occidentalis,49.60
336,CUVAWetlnd2020Jun25,CUVAWetlnd185,4.00,Platanus occidentalis,44.20
337,CUVAWetlnd2020Jul06,CUVAWetlnd184,2.00,Liriodendron tulipifera,44.00
338,CUVAWetlnd2020Jul06,CUVAWetlnd184,10.00,Liriodendron tulipifera,51.00
339,CUVAWetlnd2020Jul08,CUVAWetlnd221,1.00,Acer negundo,53.20
340,CUVAWetlnd2020Jul08,CUVAWetlnd221,1.00,Standing dead,36.40
341,CUVAWetlnd2020Feb10,CUVAWetlnd229,1.00,Carya cordiformis,49.90
342,CUVAWetlnd2020Feb10,CUVAWetlnd229,2.00,Juglans nigra,55.20
343,CUVAWetlnd2020Jul13,CUVAWetlnd220,1.00,Populus deltoides,77.30
344,CUVAWetlnd2020Jul13,CUVAWetlnd220,2.00,Parthenocissus quinquefolia,71.80
345,CUVAWetlnd2020Jul13,CUVAWetlnd220,4.00,Populus deltoides,55.10
346,CUVAWetlnd2020Jul13,CUVAWetlnd220,4.00,Populus deltoides,54.20
347,CUVAWetlnd2020Jul13,CUVAWetlnd220,4.00,Acer negundo,58.90
348,CUVAWetlnd2020Jul14,CUVAWetlnd203,3.00,Populus deltoides,70.60
349,CUVAWetlnd2020Jul14,CUVAWetlnd203,3.00,Platanus occidentalis,45.30
350,CUVAWetlnd2020Jul14,CUVAWetlnd203,4.00,Acer x fremonti,59.30
351,CUVAWetlnd2020Jul14,CUVAWetlnd203,7.00,Populus deltoides,77.80
352,CUVAWetlnd2020Jul15,CUVAWetlnd201,4.00,Populus deltoides,77.80
353,CUVAWetlnd2020Jul15,CUVAWetlnd201,4.00,,
354,CUVAWetlnd2020Jul15,CUVAWetlnd201,4.00,Populus deltoides,77.80
355,CUVAWetlnd2020Jul24,CUVAWetlnd191,2.00,Platanus occidentalis,48.80
356,CUVAWetlnd2020Aug03,CUVAWetlnd196,2.00,Quercus bicolor,62.50
357,CUVAWetlnd2020Aug03,CUVAWetlnd196,4.00,Quercus bicolor,87.70
358,CUVAWetlnd2020Aug03,CUVAWetlnd196,6.00,Quercus bicolor,95.60
359,CUVAWetlnd2020Aug03,CUVAWetlnd196,6.00,Quercus bicolor,48.00
360,CUVAWetlnd2020Aug04,CUVAWetlnd208,1.00,Standing dead,48.90
361,CUVAWetlnd2020Aug04,CUVAWetlnd208,2.00,Standing dead,40.60
362,CUVAWetlnd2020Aug04,CUVAWetlnd199,1.00,Salix nigra,43.30
363,CUVAWetlnd2020Aug20,CUVAWetlnd188,3.00,Platanus occidentalis,99.30
364,CUVAWetlnd2020Jul07,CUVAWetlnd177,2.00,Platanus occidentalis,60.80
365,CUVAWetlnd2020Jul07,CUVAWetlnd177,2.00,Platanus occidentalis,52.70
366,CUVAWetlnd2020Jul07,CUVAWetlnd177,4.00,Standing dead,48.00
367,CUVAWetlnd2020Jun25,CUVAWetlnd185,1.00,Platanus occidentalis,49.60
368,CUVAWetlnd2020Jun24,CUVAWetlnd174,1.00,Liriodendron tulipifera,41.60
